Name N E Z
p178 6165362.065 444584.587 138.246
p179 6165355.909 444587.992 138.446
p180 6165349.517 444591.575 138.646
p181 6165343.430 444595.101 138.547
p182 6165337.318 444598.498 138.647
p183 6165331.198 444601.665 138.747
p184 6165325.039 444605.321 138.947
p185 6165326.780 444612.347 139.047
p186 6165332.669 444608.909 138.747
p187 6165339.064 444605.719 138.547
p188 6165345.040 444602.135 138.447
p189 6165351.170 444598.803 138.646
p190 6165357.226 444595.186 138.546
p191 6165363.374 444592.039 138.246
p192 6165369.601 444588.592 138.446
p193 6165375.632 444584.824 138.346
p194 6165381.516 444581.501 138.346
p195 6165387.292 444578.751 138.446
p196 6165392.133 444576.077 138.646
p197 6165391.578 444584.108 138.446
p198 6165386.906 444586.692 138.446
p199 6165382.154 444589.306 138.446
p200 6165377.301 444591.869 138.446
p201 6165372.235 444595.140 138.346
p202 6165367.160 444597.938 138.346
p203 6165362.092 444600.624 138.546
p204 6165356.622 444603.805 138.746
p205 6165351.128 444606.508 138.547
p206 6165346.214 444609.709 138.547
p207 6165340.887 444612.352 138.647
p208 6165335.550 444615.359 138.647
p209 6165330.219 444618.347 139.047
p210 6165333.788 444624.334 139.147
p211 6165339.496 444621.087 138.847
p212 6165345.421 444617.809 138.647
p213 6165351.037 444614.793 138.647
p214 6165356.925 444611.502 138.746
p215 6165362.863 444608.039 138.646
p216 6165368.294 444604.838 138.546
p217 6165374.589 444601.486 138.446
p218 6165381.979 444597.359 138.446
p219 6165388.411 444593.888 138.346
p220 6165394.804 444590.249 138.446
p221 6165400.417 444595.411 138.846
p222 6165395.345 444598.213 138.546
p223 6165390.531 444600.815 138.446
p224 6165385.891 444603.425 138.246
p225 6165379.992 444606.522 138.246
p226 6165373.526 444610.127 138.246
p227 6165367.539 444613.441 138.446
p228 6165361.424 444616.715 138.646
p229 6165355.260 444620.127 138.747
p230 6165349.104 444623.532 138.747
p231 6165343.139 444626.843 138.747
p232 6165337.503 444630.035 138.947
p233 6165341.804 444636.142 139.147
p234 6165348.146 444632.599 138.947
p235 6165353.972 444629.364 138.847
p236 6165360.298 444625.896 138.747
p237 6165366.339 444622.521 138.746
p238 6165372.424 444619.043 138.446
p239 6165378.460 444615.673 138.346
p240 6165384.087 444612.615 138.346
p241 6165389.181 444609.528 138.646
p242 6165394.250 444606.806 138.746
p243 6165400.366 444603.849 139.246
p244 6165406.421 444599.891 139.346
p245 6165413.752 444604.262 139.846
p246 6165407.619 444607.592 139.246
p247 6165401.355 444611.053 138.746
p248 6165394.776 444614.713 138.646
p249 6165388.257 444618.349 138.446
p250 6165382.044 444621.832 138.446
p251 6165375.892 444625.122 138.546
p252 6165369.890 444628.445 138.646
p253 6165363.739 444632.054 138.847
p254 6165357.730 444635.285 138.947
p255 6165351.460 444638.849 139.147
p256 6165345.264 444642.228 139.347
p257 6165348.703 444648.207 139.347
p258 6165355.037 444644.800 139.047
p259 6165361.160 444641.407 138.847
p260 6165367.144 444638.085 138.647
p261 6165373.431 444634.627 138.746
p262 6165379.459 444631.331 138.446
p263 6165385.187 444628.055 138.346
p264 6165391.999 444624.080 138.346
p265 6165398.698 444620.489 138.246
p266 6165404.798 444617.000 138.346
p267 6165411.043 444613.563 138.846
p268 6165416.798 444610.488 139.646
p269 6165419.612 444617.238 139.446
p270 6165414.027 444619.995 138.446
p271 6165407.760 444623.304 138.246
p272 6165402.122 444626.313 138.446
p273 6165396.181 444629.497 138.246
p274 6165390.014 444632.893 138.146
p275 6165383.834 444636.135 138.446
p276 6165377.840 444639.707 138.546
p277 6165371.836 444642.691 138.446
p278 6165359.755 444649.381 138.847
p279 6165353.481 444652.779 139.447
p280 6165367.537 444653.618 139.747
p281 6165376.958 444644.176 139.246
p282 6165381.849 444643.043 138.946
p283 6165386.493 444643.024 138.746
p284 6165392.364 444639.581 138.346
p285 6165399.285 444635.862 138.346
p286 6165405.636 444632.539 138.346
p287 6165412.020 444629.035 138.346
p288 6165418.534 444625.449 138.546
p289 6165423.922 444622.402 139.146
p290 6165427.061 444628.585 139.146
p291 6165421.157 444632.044 138.446
p292 6165415.037 444635.259 138.246
p293 6165408.860 444638.807 138.146
p294 6165402.732 444641.910 138.146
p295 6165396.946 444645.227 138.246
p296 6165392.680 444647.426 138.446
p297 6165387.576 444650.237 139.046
p298 6165381.972 444652.980 139.046
p299 6165376.883 444656.254 139.346
p300 6165371.247 444659.628 139.547
p301 6165365.067 444662.035 139.547
p302 6165371.045 444667.703 138.147
p303 6165375.896 444665.017 138.247
p304 6165381.478 444662.122 138.746
p305 6165387.211 444658.928 138.746
p306 6165393.158 444655.182 138.446
p307 6165400.563 444651.286 138.246
p308 6165406.389 444648.129 138.146
p309 6165412.486 444644.735 138.246
p310 6165418.724 444641.238 138.546
p311 6165424.504 444637.934 138.646
p312 6165430.435 444634.662 139.346
p313 6165433.529 444640.983 139.546
p314 6165428.044 444644.218 138.746
p315 6165422.222 444647.459 138.446
p316 6165416.116 444650.764 138.346
p317 6165409.981 444654.213 138.046
