B L 84H Name
55°36'30.67920" 86°07'10.93700" 105.500 p119
55°36'30.54720" 86°07'11.06976" 105.300 p120
55°36'30.37920" 86°07'11.23248" 105.400 p121
55°36'30.20952" 86°07'11.40624" 105.300 p122
55°36'30.03792" 86°07'11.57952" 105.100 p123
55°36'29.86812" 86°07'11.74728" 105.100 p124
55°36'29.70468" 86°07'11.91732" 105.200 p125
55°36'29.53284" 86°07'12.09024" 105.400 p126
55°36'29.36712" 86°07'12.25716" 105.500 p127
55°36'29.19816" 86°07'12.43896" 105.500 p128
55°36'29.02236" 86°07'12.61404" 105.800 p129
55°36'29.12130" 86°07'12.97740" 105.800 p130
55°36'29.28900" 86°07'12.81516" 105.500 p131
55°36'29.46300" 86°07'12.63495" 105.300 p132
55°36'29.63544" 86°07'12.46596" 105.300 p133
55°36'29.80476" 86°07'12.30288" 105.200 p134
55°36'29.97252" 86°07'12.13908" 105.100 p135
55°36'30.14160" 86°07'11.96724" 105.000 p136
55°36'30.30264" 86°07'11.79804" 105.100 p137
55°36'30.47580" 86°07'11.62812" 105.100 p138
55°36'30.64056" 86°07'11.44812" 105.300 p139
55°36'30.78360" 86°07'11.29728" 105.300 p140
55°36'30.91944" 86°07'11.14824" 105.400 p141
55°36'31.06872" 86°07'11.00760" 105.500 p142
55°36'31.20540" 86°07'10.87560" 105.400 p143
55°36'31.30752" 86°07'10.76136" 105.500 p144
55°36'31.40928" 86°07'11.12352" 105.300 p145
55°36'31.26372" 86°07'11.27136" 105.000 p146
55°36'31.11924" 86°07'11.42616" 105.100 p147
55°36'30.94740" 86°07'11.60052" 105.200 p148
55°36'30.76164" 86°07'11.78280" 105.300 p149
55°36'30.58044" 86°07'11.96064" 105.000 p150
55°36'30.39744" 86°07'12.14208" 105.200 p151
55°36'30.22764" 86°07'12.31524" 105.200 p152
55°36'30.05460" 86°07'12.49260" 105.400 p153
55°36'29.88792" 86°07'12.65940" 105.300 p154
55°36'29.71572" 86°07'12.81588" 105.400 p155
55°36'29.55168" 86°07'12.99840" 105.500 p156
55°36'29.37720" 86°07'13.16076" 105.600 p157
55°36'29.21484" 86°07'13.34076" 105.700 p158
55°36'29.30925" 86°07'13.72725" 105.800 p159
55°36'29.47488" 86°07'13.55772" 105.700 p160
55°36'29.64012" 86°07'13.38144" 105.500 p161
55°36'29.81760" 86°07'13.20732" 105.300 p162
55°36'29.98880" 86°07'13.04360" 105.100 p163
55°36'30.15552" 86°07'12.87036" 105.100 p164
55°36'30.32544" 86°07'12.70032" 105.000 p165
55°36'30.49128" 86°07'12.53316" 105.000 p166
55°36'30.66360" 86°07'12.35472" 104.900 p167
55°36'30.82272" 86°07'12.18396" 105.100 p168
55°36'30.98880" 86°07'12.00516" 105.000 p169
55°36'31.17756" 86°07'11.83020" 104.900 p170
55°36'31.29105" 86°07'11.70390" 104.900 p171
55°36'31.50240" 86°07'11.49090" 105.200 p172
55°36'31.60860" 86°07'11.83800" 105.500 p173
55°36'31.41108" 86°07'12.03852" 105.000 p174
55°36'31.20792" 86°07'12.25332" 104.900 p175
55°36'31.03380" 86°07'12.44100" 104.800 p176
55°36'30.83328" 86°07'12.63684" 104.900 p177
55°36'30.63900" 86°07'12.82992" 104.800 p178
55°36'30.44136" 86°07'13.02888" 105.000 p179
55°36'30.23616" 86°07'13.23816" 105.200 p180
55°36'30.04080" 86°07'13.44396" 105.100 p181
55°36'29.84460" 86°07'13.64240" 105.200 p182
55°36'29.64804" 86°07'13.82772" 105.300 p183
55°36'29.45040" 86°07'14.04096" 105.500 p184
55°36'29.50956" 86°07'14.44104" 105.600 p185
55°36'29.69856" 86°07'14.24040" 105.300 p186
55°36'29.90400" 86°07'14.05356" 105.100 p187
55°36'30.09576" 86°07'13.84452" 105.000 p188
55°36'30.29256" 86°07'13.64976" 105.200 p189
55°36'30.48690" 86°07'13.43880" 105.100 p190
55°36'30.68436" 86°07'13.25460" 104.800 p191
55°36'30.88428" 86°07'13.05324" 105.000 p192
55°36'31.07772" 86°07'12.83364" 104.900 p193
55°36'31.26660" 86°07'12.63960" 104.900 p194
55°36'31.45224" 86°07'12.47832" 105.000 p195
55°36'31.60764" 86°07'12.32208" 105.200 p196
55°36'31.59300" 86°07'12.78120" 105.000 p197
55°36'31.44300" 86°07'12.93216" 105.000 p198
55°36'31.29045" 86°07'13.08495" 105.000 p199
55°36'31.13460" 86°07'13.23480" 105.000 p200
55°36'30.97215" 86°07'13.42530" 104.900 p201
55°36'30.80920" 86°07'13.58880" 104.900 p202
55°36'30.64644" 86°07'13.74588" 105.100 p203
55°36'30.47088" 86°07'13.93152" 105.300 p204
55°36'30.29436" 86°07'14.08992" 105.100 p205
55°36'30.13680" 86°07'14.27628" 105.100 p206
55°36'29.96568" 86°07'14.43108" 105.200 p207
55°36'29.79435" 86°07'14.60670" 105.200 p208
55°36'29.62320" 86°07'14.78124" 105.600 p209
55°36'29.74104" 86°07'15.12060" 105.700 p210
55°36'29.92428" 86°07'14.93100" 105.400 p211
55°36'30.11448" 86°07'14.73948" 105.200 p212
55°36'30.29484" 86°07'14.56320" 105.200 p213
55°36'30.48384" 86°07'14.37096" 105.300 p214
55°36'30.67440" 86°07'14.16885" 105.200 p215
55°36'30.84870" 86°07'13.98210" 105.100 p216
55°36'31.05084" 86°07'13.78608" 105.000 p217
55°36'31.28808" 86°07'13.54500" 105.000 p218
55°36'31.49460" 86°07'13.34208" 104.900 p219
55°36'31.69980" 86°07'13.12965" 105.000 p220
55°36'31.88340" 86°07'13.42040" 105.400 p221
55°36'31.72056" 86°07'13.58412" 105.100 p222
55°36'31.56600" 86°07'13.73620" 105.000 p223
55°36'31.41705" 86°07'13.88865" 104.800 p224
55°36'31.22760" 86°07'14.06980" 104.800 p225
55°36'31.02000" 86°07'14.28040" 104.800 p226
55°36'30.82780" 86°07'14.47400" 105.000 p227
55°36'30.63144" 86°07'14.66544" 105.200 p228
55°36'30.43356" 86°07'14.86476" 105.300 p229
55°36'30.23592" 86°07'15.06372" 105.300 p230
55°36'30.04440" 86°07'15.25716" 105.300 p231
55°36'29.86350" 86°07'15.44355" 105.500 p232
55°36'30.00504" 86°07'15.78924" 105.700 p233
55°36'30.20865" 86°07'15.58230" 105.500 p234
55°36'30.39570" 86°07'15.39330" 105.400 p235
55°36'30.59880" 86°07'15.19065" 105.300 p236
55°36'30.79272" 86°07'14.99352" 105.300 p237
55°36'30.98805" 86°07'14.79045" 105.000 p238
55°36'31.18180" 86°07'14.59360" 104.900 p239
55°36'31.36248" 86°07'14.41488" 104.900 p240
55°36'31.52592" 86°07'14.23488" 105.200 p241
55°36'31.68870" 86°07'14.07570" 105.300 p242
55°36'31.88520" 86°07'13.90240" 105.800 p243
55°36'32.07936" 86°07'13.67196" 105.900 p244
55°36'32.31816" 86°07'13.91628" 106.400 p245
55°36'32.12124" 86°07'14.11092" 105.800 p246
55°36'31.92015" 86°07'14.31315" 105.300 p247
55°36'31.70892" 86°07'14.52696" 105.200 p248
55°36'31.49964" 86°07'14.73936" 105.000 p249
55°36'31.30020" 86°07'14.94276" 105.000 p250
55°36'31.10265" 86°07'15.13515" 105.100 p251
55°36'30.90996" 86°07'15.32928" 105.200 p252
55°36'30.71256" 86°07'15.53988" 105.400 p253
55°36'30.51960" 86°07'15.72876" 105.500 p254
55°36'30.31836" 86°07'15.93684" 105.700 p255
55°36'30.11940" 86°07'16.13436" 105.900 p256
55°36'30.23304" 86°07'16.47336" 105.900 p257
55°36'30.43644" 86°07'16.27416" 105.600 p258
55°36'30.63300" 86°07'16.07595" 105.400 p259
55°36'30.82512" 86°07'15.88188" 105.200 p260
55°36'31.02696" 86°07'15.67980" 105.300 p261
