B L 84H Name
55°36'34.55520" 86°07'21.74004" 104.600 p513
55°36'34.35820" 86°07'21.94280" 104.400 p514
55°36'34.16460" 86°07'22.13820" 104.400 p515
55°36'33.97635" 86°07'22.32975" 104.400 p516
55°36'33.77955" 86°07'22.52925" 104.400 p517
55°36'33.59160" 86°07'22.71540" 104.500 p518
55°36'33.39660" 86°07'22.91364" 104.500 p519
55°36'33.20244" 86°07'23.11236" 104.600 p520
55°36'33.00924" 86°07'23.31720" 104.600 p521
55°36'32.80656" 86°07'23.52060" 104.400 p522
55°36'33.04524" 86°07'23.75580" 104.700 p523
55°36'33.24600" 86°07'23.55396" 104.600 p524
55°36'33.44484" 86°07'23.34132" 104.800 p525
55°36'33.63588" 86°07'23.15712" 104.500 p526
55°36'33.83400" 86°07'22.95700" 104.300 p527
55°36'34.03140" 86°07'22.75824" 104.300 p528
55°36'34.20468" 86°07'22.58472" 104.300 p529
55°36'34.40244" 86°07'22.37928" 104.400 p530
55°36'34.59696" 86°07'22.18620" 104.500 p531
55°36'34.79412" 86°07'21.98328" 104.700 p532
55°36'34.98096" 86°07'21.80268" 104.900 p533
55°36'35.18340" 86°07'21.58900" 105.300 p534
55°36'35.38960" 86°07'21.38020" 106.300 p535
55°36'35.58140" 86°07'21.64360" 106.500 p536
55°36'35.45688" 86°07'21.77856" 105.900 p537
55°36'35.30145" 86°07'21.92220" 105.200 p538
55°36'35.11644" 86°07'22.12320" 104.900 p539
55°36'34.92690" 86°07'22.31535" 104.700 p540
55°36'34.73100" 86°07'22.50870" 104.400 p541
55°36'34.51950" 86°07'22.71960" 104.300 p542
55°36'34.34960" 86°07'22.90000" 104.300 p543
55°36'34.17780" 86°07'23.07030" 104.300 p544
55°36'34.00760" 86°07'23.23800" 104.300 p545
55°36'33.84156" 86°07'23.40504" 104.500 p546
55°36'33.67515" 86°07'23.56965" 104.300 p547
55°36'33.49992" 86°07'23.74428" 104.600 p548
55°36'33.33324" 86°07'23.92464" 104.500 p549
55°36'33.16608" 86°07'24.08904" 104.500 p550
55°36'33.37500" 86°07'24.34680" 104.400 p551
55°36'33.56355" 86°07'24.13830" 104.400 p552
55°36'33.77016" 86°07'23.93664" 104.400 p553
55°36'33.97365" 86°07'23.73315" 104.400 p554
55°36'34.16820" 86°07'23.53160" 104.300 p555
55°36'34.36116" 86°07'23.33676" 104.300 p556
55°36'34.55604" 86°07'23.14428" 104.200 p557
55°36'34.75710" 86°07'22.94790" 104.200 p558
55°36'34.95315" 86°07'22.74900" 104.400 p559
55°36'35.14815" 86°07'22.55100" 104.600 p560
55°36'35.34288" 86°07'22.35660" 104.900 p561
55°36'35.51604" 86°07'22.17084" 105.400 p562
55°36'35.71170" 86°07'21.97275" 106.300 p563
55°36'35.81500" 86°07'22.33620" 106.200 p564
55°36'35.62476" 86°07'22.53072" 105.700 p565
55°36'35.44360" 86°07'22.70940" 104.900 p566
55°36'35.27355" 86°07'22.88445" 104.800 p567
55°36'35.10420" 86°07'23.06460" 104.400 p568
55°36'34.94124" 86°07'23.23692" 104.400 p569
55°36'34.77300" 86°07'23.39200" 104.400 p570
55°36'34.60480" 86°07'23.57360" 104.600 p571
55°36'34.43415" 86°07'23.74185" 104.600 p572
55°36'34.26720" 86°07'23.91375" 104.600 p573
55°36'34.09536" 86°07'24.07356" 104.600 p574
55°36'33.92580" 86°07'24.25428" 104.500 p575
55°36'33.75720" 86°07'24.42405" 104.400 p576
55°36'33.58600" 86°07'24.59360" 104.400 p577
55°36'33.42156" 86°07'24.76056" 104.200 p578
55°36'33.56892" 86°07'25.06920" 104.300 p579
55°36'33.73515" 86°07'24.90045" 104.400 p580
55°36'33.90480" 86°07'24.73830" 104.300 p581
55°36'34.06770" 86°07'24.54825" 104.500 p582
55°36'34.24800" 86°07'24.37440" 104.400 p583
55°36'34.41540" 86°07'24.21432" 104.400 p584
55°36'34.58325" 86°07'24.04050" 104.300 p585
55°36'34.75152" 86°07'23.86536" 104.500 p586
55°36'34.91928" 86°07'23.70336" 104.400 p587
55°36'35.09112" 86°07'23.52972" 104.300 p588
55°36'35.27052" 86°07'23.34864" 104.400 p589
55°36'35.45304" 86°07'23.15856" 104.600 p590
55°36'35.63580" 86°07'22.97280" 105.000 p591
55°36'35.82090" 86°07'22.78785" 105.700 p592
55°36'36.00504" 86°07'22.61088" 106.100 p593
